subjID,itrial,CasesName,filename,Lesion,MouseScreenX,MouseScreenY,ImageMouseX_X_521_,ImageMouseY,NotOnTissue,Accuracy,OldTrialType,NewTrialType
22,65,c174,65_c174_C.jpg,1,1327,531,806,531,0,1,HIT,HIT
22,66,c278,66_c278_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
22,67,c239,67_c239_C.jpg,1,1216,883,695,883,0,1,HIT,HIT
22,68,c154,68_c154_C.jpg,1,1231,541,710,541,0,1,HIT,MISS&FA
22,69,c143,69_c143_C.jpg,1,1215,220,694,220,0,1,HIT,HIT
22,70,c102,70_c102_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
22,71,c336,71_c336_C.jpg,1,1283,635,762,635,0,1,HIT,HIT
22,72,c368,72_c368_C.jpg,1,1119,597,598,597,0,1,HIT,HIT
22,73,c84,73_c84_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
22,74,c375R,74_c375R_C.jpg,1,1203,556,682,556,0,1,HIT,HIT
22,75,n28,75_n28_N.jpg,0,907,701,386,701,0,0,FA,FA
22,76,c260,76_c260_C.jpg,1,1071,807,550,807,0,1,HIT,HIT
22,77,c228,77_c228_C.jpg,1,1098,742,577,742,0,1,HIT,HIT
22,78,n82,78_n82_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
22,79,n374,79_n374_N.jpg,0,957,736,436,736,0,0,FA,FA
22,80,c43,80_c43_C.jpg,1,1153,608,632,608,0,1,HIT,HIT
23,1,c102,01_c102_C.jpg,1,944,824,423,824,0,1,HIT,MISS&FA
23,2,n88,02_n88_N.jpg,0,1197,127,676,127,0,0,FA,FA
23,3,c353,03_c353_C.jpg,1,1324,701,803,701,0,1,HIT,HIT
23,4,c68,04_c68_C.jpg,1,1137,762,616,762,0,1,HIT,MISS&FA
23,5,c469,05_c469_C.jpg,1,1274,702,753,702,0,1,HIT,HIT
23,6,n279,06_n279_N.jpg,0,1119,906,598,906,0,0,FA,FA
23,7,c484,07_c484_C.jpg,1,1150,757,629,757,0,1,HIT,HIT
23,8,c387,08_c387_C.jpg,1,1088,696,567,696,0,1,HIT,MISS&FA
23,9,c70,09_c70_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
23,10,c285,10_c285_C.jpg,1,1140,334,619,334,0,1,HIT,HIT
23,11,n33,11_n33_N.jpg,0,955,590,434,590,0,0,FA,FA
23,12,c165,12_c165_C.jpg,1,1303,562,782,562,0,1,HIT,HIT
23,13,c266,13_c266_C.jpg,1,1160,603,639,603,0,1,HIT,HIT
23,14,c84,14_c84_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
23,15,c79,15_c79_C.jpg,1,1232,696,711,696,0,1,HIT,HIT
23,16,c3,16_c3_C.jpg,1,1362,107,841,107,0,1,HIT,MISS&FA
23,17,c375R,17_c375R_C.jpg,1,1202,558,681,558,0,1,HIT,HIT
23,18,c134,18_c134_C.jpg,1,1130,423,609,423,0,1,HIT,HIT
